Cuenca;Estación;Fecha;Hora;Lluvia (mm)
84;193;01/09/2008;700;0.0
84;193;01/09/2008;800;0.0
84;193;01/09/2008;900;0.0
84;193;01/09/2008;1000;0.0
84;193;01/09/2008;1100;0.0
84;193;01/09/2008;1200;0.0
84;193;01/09/2008;1300;0.0
84;193;01/09/2008;1400;1.8
84;193;01/09/2008;1500;5.2
84;193;01/09/2008;1600;3.2
84;193;01/09/2008;1700;5.7
84;193;01/09/2008;1800;1.4
84;193;01/09/2008;1900;0.4
84;193;01/09/2008;2000;1.7
84;193;01/09/2008;2100;1.4
84;193;01/09/2008;2200;0.0
84;193;01/09/2008;2300;0.0
84;193;01/09/2008;2400;0.0
84;193;02/09/2008;100;0.0
84;193;02/09/2008;200;0.0
84;193;02/09/2008;300;0.1
84;193;02/09/2008;400;0.0
84;193;02/09/2008;500;0.0
84;193;02/09/2008;600;0.0
84;193;02/09/2008;700;0.0
84;193;02/09/2008;800;0.0
84;193;02/09/2008;900;0.0
84;193;02/09/2008;1000;0.0
84;193;02/09/2008;1100;0.0
84;193;02/09/2008;1200;0.0
84;193;02/09/2008;1300;0.0
84;193;02/09/2008;1400;0.0
84;193;02/09/2008;1500;0.0
84;193;02/09/2008;1600;0.0
84;193;02/09/2008;1700;0.1
84;193;02/09/2008;1800;0.6
84;193;02/09/2008;1900;4.9
84;193;02/09/2008;2000;2.4
84;193;02/09/2008;2100;1.7
84;193;02/09/2008;2200;0.1
84;193;02/09/2008;2300;0.0
84;193;02/09/2008;2400;0.2
84;193;03/09/2008;100;1.1
84;193;03/09/2008;200;1.3
84;193;03/09/2008;300;0.0
84;193;03/09/2008;400;0.5
84;193;03/09/2008;500;0.0
84;193;03/09/2008;600;0.4
84;193;03/09/2008;700;0.0
84;193;03/09/2008;800;0.0
84;193;03/09/2008;900;0.0
84;193;03/09/2008;1000;0.3
